image_number,image_name,pixel_diff,centroid_diff,gradient_diff,thickness_diff,total_diff
1,1_binary_borders.png,0.5466383204889715,0.04647077741487597,0.3336670160316477,0.22036944583125312,0.2867863899416871
2,2_binary_borders.png,0.0,1.0,1.0,0.7752371442835746,0.6938092860708936
3,3_binary_borders.png,0.46567455044733813,0.15944989442732468,0.32780114412973166,0.048826759860209686,0.2504380872161511
4,4_binary_borders.png,0.44698378952963064,0.21491088561600444,0.29728279041914,0.09345981028457315,0.2631593189623371
5,5_binary_borders.png,0.2280095668349721,0.3516937879423359,0.39881746360203074,0.27718422366450324,0.3139262605109605
6,6_binary_borders.png,0.2509522544069448,0.40940691589947587,0.42912532771221645,0.2944583125312032,0.3459857026374601
7,7_binary_borders.png,0.6200726370803437,0.26334271184463365,0.2922267384286024,0.42835746380429357,0.4009998877894683
8,8_binary_borders.png,0.5738329347152095,0.45533546397989916,0.33654049819833626,0.1835247129306041,0.3873084024560123
9,9_binary_borders.png,0.5858800602356276,0.16844754253369182,0.2970410920062478,0.27938092860708935,0.33268740584566414
10,10_binary_borders.png,1.0,0.31496093023814964,0.3270890285594876,1.0,0.6605124896994093
11,11_binary_borders.png,0.2623793072902826,0.40719937026625996,0.3651384740798349,0.1929106340489266,0.306906946421326
12,12_binary_borders.png,0.6379661617503765,0.08990912282237899,0.38204885316884873,0.5134298552171742,0.40583849823969464
13,13_binary_borders.png,0.44654088050314467,0.29775348795032214,0.3593141584650269,0.1181228157763355,0.30543283567370727
14,14_binary_borders.png,0.5094339622641509,0.23589609634246542,0.3748644651483283,0.16904643035446829,0.32231023852735324
15,15_binary_borders.png,0.31836300823810787,0.2800025809561071,0.31147627568273584,0.19331003494757862,0.2757879749561324
16,16_binary_borders.png,0.5458410842412968,0.03677547411309171,0.17698852301630705,0.24023964053919122,0.2499611804774717
17,17_binary_borders.png,0.5785277703959607,0.20699233589548735,0.12396717782441365,0.20599101347978033,0.2788695743989105
18,18_binary_borders.png,0.2707059969882186,0.004579830316509132,0.25794429415553255,0.21387918122815777,0.1867773256721045
19,19_binary_borders.png,0.37611834529187704,0.2098276020578602,0.3447978941762888,0.016774837743384924,0.23687966981735276
20,20_binary_borders.png,0.34298875011072727,0.12308535703449482,0.454433053822309,0.12221667498751872,0.2606809589887625
21,21_binary_borders.png,0.568960935423864,0.11870958233235443,0.3438708277168464,0.17244133799301048,0.30099567086651885
22,22_binary_borders.png,0.40791921339356896,0.13388722767584618,0.3605173629242294,0.0254618072890664,0.23194640282067774
23,23_binary_borders.png,0.4411373903800159,0.04578379681511192,0.2155200281738253,0.14318522216674986,0.21140660938392575
24,24_binary_borders.png,0.3900256887235362,0.0976115875138635,0.30114091071362004,0.02386420369445831,0.2031605976613695
25,25_binary_borders.png,0.30702453716006733,0.21968590152458417,0.3493206905209898,0.1835247129306041,0.26488896053406136
26,26_binary_borders.png,0.2102046239702365,0.22557798989779085,0.41653607229598416,0.34757863205192213,0.2999743295539834
27,27_binary_borders.png,0.6542652139250598,0.18749460172458152,0.21837892798020453,0.4269595606590115,0.3717745760722143
28,28_binary_borders.png,0.6749933563646027,0.21506641812467173,0.3807121180593815,0.4964553170244633,0.44180680239327985
29,29_binary_borders.png,0.37160067322172025,0.31891222796975083,0.31865103123805166,0.06819770344483275,0.26934040896858885
30,30_binary_borders.png,0.49995570909735143,0.3430498298279373,0.306833060180223,0.0635047428856715,0.3033358354977958
31,31_binary_borders.png,0.569935335282133,0.20949062102755636,0.20390363279825843,0.3219171243135297,0.32631167835536934
32,32_binary_borders.png,0.4514128797944902,0.23481750485281494,0.20727534967678932,0.058112830753869194,0.2379046412694909
33,33_binary_borders.png,0.5305164319248826,0.34073751112141526,0.342426343482109,0.26669995007488767,0.37009505915082364
34,34_binary_borders.png,0.6905837540969085,0.256835723080538,0.3079250735602473,0.3676485272091862,0.40574826948672005
35,35_binary_borders.png,0.4438834263442289,0.1532549537179002,0.3607165385034765,0.07159261108337493,0.2573618824122451
36,36_binary_borders.png,0.6298166356630348,0.05440297174679116,0.1586693787414997,0.3378931602596106,0.29519553660273407
37,37_binary_borders.png,0.5682522809814864,0.29563937820992015,0.25080406064907157,0.33160259610584125,0.36157457898657985
38,38_binary_borders.png,0.29045973956949245,0.20549013097529314,0.2725527418135955,0.013879181228157763,0.1955954483966347
39,39_binary_borders.png,0.11958543715120915,0.1596425307286395,0.30616376767653325,0.2090863704443335,0.19861952650017883
40,40_binary_borders.png,0.39613783328904245,0.230486993165754,0.36048864442373973,0.01777333999001498,0.25122170271713784
41,41_binary_borders.png,0.4829480024802906,0.3045872531739731,0.18313786652863756,0.2775836245631553,0.31206418668651414
42,42_binary_borders.png,0.5869430418991939,0.14486284757857934,0.2722319642713901,0.44513230154767847,0.3622925388242105
43,43_binary_borders.png,0.54637257507308,0.29708074630903575,0.34740437911897326,0.3129306040938592,0.375947076148737
44,44_binary_borders.png,0.34174860483656655,0.26985353285569036,0.4199444725443952,0.15656515227159262,0.29702794062706117
45,45_binary_borders.png,0.29816635663034813,0.029291213620891467,0.19576767457064193,0.1617573639540689,0.1712456521939876
46,46_binary_borders.png,0.34077420497829747,0.11124524362159834,0.18299404067037175,0.08377433849226161,0.17969695694063229
47,47_binary_borders.png,0.7519709451678626,0.310414528970573,0.27837774222971134,0.5728407388916625,0.47840098881495235
48,48_binary_borders.png,0.6453184515900434,0.29931814653738253,0.27968089964087384,0.3853220169745382,0.4024098786857095
49,49_binary_borders.png,0.6311453627424927,0.40425315646514864,0.33210670468441544,0.29345981028457313,0.41524125854415744
50,50_binary_borders.png,0.5447781025777305,0.3035207988115935,0.3352882048331292,0.21008487269096354,0.3484179947283542
51,51_binary_borders.png,0.5351226858003366,0.35060089127611077,0.2727963683334577,0.32820768846729903,0.37168190846930105
52,52_binary_borders.png,0.429621755691381,0.19691940021212587,0.2933691583168268,0.014977533699450823,0.23372196197994613
