135,160,157,143,191,165,154,80
18,1,197,134,161,40,107,181
147,93,15,35,190,166,19,151
163,148,102,59,106,144,52,98
152,69,156,114,58,31,4,82
79,20,34,39,130,96,141,65
129,119,88,87,42,48,33,10
131,0,73,159,50,111,89,99
123,122,103,169,67,66,28,164
120,37,3,146,153,174,63,149
139,90,101,194,142,172,140,27
84,8,26,77,192,13,104,7
138,51,150,117,92,94,61,100
83,177,21,62,75,30,2,12
170,109,95,195,178,71,60,171
11,145,112,32,136,168,68,53
41,46,108,121,132,36,23,49
176,158,97,113,64,55,137,81
0,43,72,175,45,189,16,0
76,44,183,179,6,173,38,0
