image_number	pixel_diff	centroid_diff	gradient_diff	thickness_diff	total_diff
45	0.298166357	0.029291214	0.195767675	0.161757364	0.171245652
46	0.340774205	0.111245244	0.182994041	0.083774338	0.179696957
47	0.751970945	0.310414529	0.278377742	0.572840739	0.478400989
48	0.645318452	0.299318147	0.2796809	0.385322017	0.402409879
49	0.631145363	0.404253156	0.332106705	0.29345981	0.415241259
50	0.544778103	0.303520799	0.335288205	0.210084873	0.348417995
51	0.535122686	0.350600891	0.272796368	0.328207688	0.371681908
52	0.429621756	0.1969194	0.293369158	0.014977534	0.233721962
53	0.32482948	0.342785964	0.354923536	0.139690464	0.290557361
54	0.223314731	0.341262665	0.535535664	0.378132801	0.369561465
55	0.656214014	0.147761384	0.242042018	0.511632551	0.389412492
56	0.474089822	0.457344648	0.317693639	0.108437344	0.339391363
57	0.594118168	0.367032021	0.48851383	0.490164753	0.484957193
58	0.506776508	0.123414189	0.261369759	0.228157763	0.279929555
59	0.436796882	0.219053864	0.42320044	0.064802796	0.285963496
60	0.277261051	0.103609378	0.32110126	0.088067898	0.197509897
61	0.261759235	0.348513273	0.42932586	0.347378932	0.346744325
62	0.462574187	0.287164347	0.291108225	0.055516725	0.274090871
63	0.475772876	0.237214624	0.334813382	0.0222666	0.267516871
64	0.335813624	0.325071092	0.304900427	0.069795307	0.258895113
65	0.457436443	0.247657591	0.126917595	0.077284074	0.227323926
66	0.393480379	0.207582279	0.19515155	0.107039441	0.225813412
67	0.454690407	0.396896036	0.374151086	0.181028457	0.351691496
68	0.415802994	0.326068244	0.279021628	0.128407389	0.287325064
69	0.755957126	0.257206178	0.340292211	0.590314528	0.485942511
70	0.524138542	0.330159572	0.36925586	0.138691962	0.340561484
71	0.734874657	0.396529726	0.314349966	0.482476286	0.482057658
72	0.589334751	0.20707301	0.23504033	0.365152272	0.349150091
73	0.522544069	0.1774705	0.26165578	0.251922117	0.303398117
74	0.338116751	0.475358487	0.465211935	0.154068897	0.358189017
75	0.446895208	0.268696166	0.186419712	0.092561158	0.248643061
76	0.551598902	0.409453445	0.363065668	0.190414378	0.378633098
77	0.456107715	0.204848689	0.338400893	0.20878682	0.302036029
78	0.381078926	0.136866821	0.309424061	0.091862207	0.229808004
79	0.356187439	0.048078333	0.294198279	0.067199201	0.191415813
80	0.78164585	0.249423859	0.339751907	0.80898652	0.544952034
81	0.777128178	0.183540599	0.098208926	0.524912631	0.395947584
82	0.404907432	0.211931889	0.3229918	0.059211183	0.249760576
83	0.460536806	0.246050792	0.30079668	0.042236645	0.262405231
84	0.40774205	0.282249598	0.359039524	0.015476785	0.266126989
85	0.386836744	0.006331304	0.201644738	0.010284573	0.15127434
86	0.481619275	0.130417029	0.3207736	0.237343984	0.292538472
87	0.478784658	0.389768709	0.328298913	0.164053919	0.34022655
88	0.684648773	0.520436684	0.328835853	0.481377933	0.503824811
89	0.646381433	0.361954325	0.266349893	0.4222666	0.424238063
90	0.529807777	0.260527041	0.327053014	0.134897654	0.313071371
91	0.450349898	0.389007905	0.490225248	0	0.332395763
92	0.337142351	0.445049431	0.431946084	0.00878682	0.305731171
93	0.833023297	0.419108522	0.408138384	0.724912631	0.596295709
94	0.459562406	0.198439014	0.30396512	0.122216675	0.271045804
95	0.360793693	0.359494169	0.38108416	0.068796805	0.292542207
96	0.313313845	0.225608257	0.38991909	0.152870694	0.270427972
97	0.301443883	0.229454743	0.360057639	0.155067399	0.261505916
98	0.253343963	0.140681976	0.471772871	0.243035447	0.277208564
99	0.254406945	0.139080876	0.389220007	0.199700449	0.245602069
100	0.559305519	0	0.259806004	0.282975537	0.275521765
101	0.72176455	0.11844707	0.214221376	0.400798802	0.363807949
102	0.644432634	0.119205408	0.176223181	0.315027459	0.31372217
103	0.736114802	0.197550646	0.252870025	0.427558662	0.403523534
104	0.440340154	0.190655622	0.318602639	0.010484274	0.240020672
105	0.536717158	0.289983107	0	0.187618572	0.253579709
106	0.600230313	0.227068433	0.144850315	0.230853719	0.300750695
107	0.732482948	0.399514004	0.266817315	0.576834748	0.493912254
108	0.362299584	0.299726093	0.349908385	0.041737394	0.263417864
109	0.675613429	0.232585227	0.364119865	0.572840739	0.461289815
110	0.59712995	0.604968325	0.427522285	0.195207189	0.456206937
111	0.46567455	0.154596144	0.235732321	0.28447329	0.285119076
112	0.373017982	0.330500866	0.157331322	0.040838742	0.225422228
113	0.332979006	0.293183388	0.328962702	0.074787818	0.257478229
114	0.443440517	0.38383684	0.350867209	0.004193709	0.295584569
115	0.465497387	0.343090667	0.417836822	0.290664004	0.37927222
116	0.23403313	0.273402327	0.473540031	0.329705442	0.327670232
117	0.295774648	0.307831601	0.363113414	0.21777334	0.296123251
118	0.420940739	0.258404962	0.41217614	0.01757364	0.27727387
119	0.4406059	0.27579614	0.344698563	0.065102346	0.281550737
120	0.760031889	0.044483897	0.340167216	0.7554668	0.475037451
121	0.55053592	0.250539277	0.262611506	0.144882676	0.302142345
122	0.542917885	0.214816321	0.259611618	0.177034448	0.298595068
123	0.47205244	0.088329829	0.240292496	0.11992012	0.230148721
124	0.44751528	0.286019692	0.340493554	0.135197204	0.302306432
125	0.687306227	0.211893184	0.190471502	0.553469795	0.410785177
126	0.273894942	0.157050747	0.394835674	0.218871692	0.261163264
127	0.604127912	0.186352797	0.41419237	0.316525212	0.380299573
128	0.674639029	0.291685586	0.354108307	0.444133799	0.44114168
129	0.765701125	0.33499163	0.308133166	0.443734398	0.46314008
130	0.682965719	0.381148087	0.372443048	0.46669995	0.475814201
131	0.315174063	0.089367088	0.325068294	0.060109835	0.19742982
132	0.553724865	0.432381604	0.282313404	0.113130305	0.345387545
133	0.473824077	0.372361374	0.351044717	0.168447329	0.341419374
134	0.647267251	0.254220067	0.34572952	0.239141288	0.371589532
135	0.676942156	0.288889077	0.390936779	0.449126311	0.451473581
136	0.243245637	0.444053057	0.485340031	0.363654518	0.384073311
137	0.298697847	0.415886345	0.461053751	0.279380929	0.363754718
138	0.499335636	0.15525898	0.293054257	0.051422866	0.249767935
139	0.353087076	0.057512832	0.333470887	0.023165252	0.191809012
140	0.656834086	0.152034439	0.324703325	0.583824264	0.429349028
